state,avg_sunlight
AL,18232.39
AK,20156.43
AZ,17455.78
AR,19438.55
CA,17553.46
CO,15311.68
CT,16458.57
DE,16458.57
DC,15701.4
FL,19700.78
GA,18574.37
ID,15799.46
IL,15248.33
IN,15000.75
IA,14994.59
KS,17035.46
KY,15449.73
LA,19395.65
ME,13752
MT,14424.05
NE,15870.65
NV,18134.88
NH,14319.93
NJ,15755.53
NM,19839.58
NY,14128.05
NC,17483.33
ND,14708.97
OH,14634.43
OK,18009.52
OR,16064.65
MD,15897.12
MA,15134.62
MI,14610.29
MN,14424.05
MS,18384.95
MO,16069.9
PA,14215.22
RI,15557.88
SC,18630.89
SD,15166.94
TN,16414.93
TX,19779.58
UT,17472.51
VT,13854.56
VA,16462.42
WA,14423.6
WV,14831.69
WI,14446.51
WY,16239.01