,ylat,xlong,p_area,p_azimuth,p_tilt,p_cap_ac,p_cap_dc,p_tech_sec_c-si,p_tech_sec_combination,p_tech_sec_cpv,p_tech_sec_thin-film,p_tech_sec_unknown,p_axis_combination,p_axis_dual-axis,p_axis_fixed-tilt,p_axis_single-axis,p_type_contaminated,p_type_greenfield,p_type_landfill,p_agrivolt_agrivoltaic,p_agrivolt_non-agrivoltaic,predicted_zscore,true_zscore,state,county
2309,42.18730164,-76.89409637,61941,180,20.0,4.0,5.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Chemung
865,38.21670151,-122.5429993,13285,180,30.0,0.8,1.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CA,Sonoma
505,34.66500092,-118.2870026,18210,200,20.0,1.5,1.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CA,Los Angeles
1082,25.64439964,-80.48819733,1075657,195,20.0,74.5,113.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,FL,Miami-Dade
2626,34.32220078,-79.92040253,185989,180,0.0,10.0,14.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,SC,Darlington
7,44.50630188,-92.35980225,78881,180,0.0,5.0,7.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MN,Goodhue
1732,42.24819946,-72.67060089,30346,180,25.0,2.5,3.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Hampshire
2969,36.13159943,-79.33350372,81658,180,0.0,5.0,7.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Alamance
2350,42.19879913,-75.92880249,66877,180,20.0,4.9,6.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Broome
577,36.78369904,-119.7139969,12623,180,20.0,1.2,1.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,CA,Fresno
768,32.61830139,-116.1320038,311697,180,0.0,20.0,28.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CA,San Diego
3154,35.35210037,-77.47129822,85413,180,30.0,5.0,6.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Lenoir
1731,42.17020035,-73.02459717,73966,180,20.0,4.7,6.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Hampden
1629,42.2602005,-71.50140381,13185,180,10.0,2.3,3.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,MA,Middlesex
3194,34.81769943,-78.62539673,981850,180,20.0,50.0,75.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NC,Bladen
3171,36.14080048,-80.61039734,62879,180,25.0,3.5,4.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NC,Yadkin
3368,35.20589828,-77.71269989,806114,181,25.0,50.0,73.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Lenoir
2233,40.64860153,-73.50610352,33456,171,20.0,1.8,2.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Nassau
2269,41.77479935,-75.0338974,21297,189,25.0,1.4,1.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Sullivan
708,37.97230148,-121.7200012,4717,182,0.0,1.1,1.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CA,Contra Costa
3052,35.30540085,-81.69689941,68436,180,0.0,4.5,5.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Cleveland
1106,30.23349953,-82.24880219,1148059,195,20.0,74.5,98.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,FL,Baker
2696,33.13140106,-80.26270294,78444,200,0.0,6.5,8.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,SC,Berkeley
371,34.4394989,-91.44000244,1312599,180,35.0,81.0,125.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,AR,Arkansas
1460,42.56959915,-72.16190338,16870,180,0.0,1.0,1.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Worcester
3081,35.91159821,-78.87349701,37618,180,20.0,3.0,3.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Durham
2281,41.56240082,-74.34529877,34653,180,0.0,2.0,2.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Orange
3109,35.17869949,-81.6651001,59298,180,30.0,4.0,4.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Cleveland
1122,26.77569962,-80.34809875,1399060,180,20.0,74.5,113.4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,FL,Palm Beach
473,36.2118988,-119.1340027,59043,180,25.0,4.0,4.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CA,Tulare
3153,35.21709824,-78.68979645,85857,180,25.0,4.9,6.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NC,Cumberland
2959,34.51990128,-79.12789917,67197,180,0.0,3.0,5.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NC,Robeson
1782,42.2254982,-71.87400055,38381,180,0.0,2.0,6.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Worcester
2065,40.37939835,-74.62539673,29086,180,20.0,2.5,2.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NJ,Mercer
2603,41.52299881,-71.68430328,21436,180,0.0,1.3,1.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,RI,Washington
1549,42.21929932,-71.79029846,97903,180,0.0,6.5,8.2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,MA,Worcester
315,44.47679901,-93.15419769,15142,180,0.0,1.0,1.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MN,Dakota
1437,42.20230103,-72.31340027,54426,180,0.0,3.5,4.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Hampden
226,43.85900116,-91.32430267,15332,180,28.0,1.0,1.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MN,Winona
1651,41.78369904,-70.69300079,16988,180,0.0,1.0,1.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Plymouth
1032,41.67869949,-71.90409851,13216,180,0.0,1.0,1.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,CT,Windham
1975,40.44400024,-74.24310303,90626,180,35.0,8.8,10.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NJ,Middlesex
1968,40.52259827,-74.9434967,130655,180,0.0,8.8,10.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NJ,Hunterdon
146,44.5442009,-94.22309875,15950,180,0.0,1.0,1.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MN,Sibley
1636,42.05149841,-70.80090332,38753,180,10.0,2.4,3.3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,MA,Plymouth
1225,21.90259933,-159.451004,140706,180,20.0,12.0,14.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,HI,Kauai
3390,34.90140152,-77.78359985,34916,180,0.0,2.0,2.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Duplin
2296,42.81119919,-78.85420227,33588,180,0.0,2.0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,NY,Erie
289,45.71770096,-95.26439667,15272,180,25.0,1.0,1.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MN,Pope
2023,40.43709946,-74.33570099,41127,180,35.0,3.1,4.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NJ,Middlesex
1121,28.53619957,-80.67359924,895166,180,25.0,74.5,98.3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,FL,Brevard
365,33.62639999,-85.94000244,39717,180,0.0,7.4,9.7,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,AL,Calhoun
1842,39.68180084,-77.80079651,23692,180,30.0,2.0,2.5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,MD,Washington
1702,41.67950058,-70.83609772,72840,180,0.0,4.8,6.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MA,Plymouth
2032,40.09109879,-74.80760193,35364,180,30.0,2.6,3.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NJ,Burlington
3537,36.07619858,-79.6339035,44870,180,0.0,3.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Guilford
3439,34.69549942,-79.21720123,80173,180,30.0,6.5,6.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Robeson
2085,40.48749924,-74.35890198,83258,180,20.0,7.7,7.7,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,NJ,Middlesex
1879,42.25130081,-85.64189911,11192,180,25.0,1.0,1.1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,MI,Kalamazoo
2516,45.37329864,-122.2649994,34237,180,20.0,1.9,2.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,OR,Clackamas
1063,27.62809944,-82.3553009,1253762,195,0.0,74.5,114.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,FL,Manatee
816,36.62060165,-119.6679993,30334,202,25.0,2.5,3.3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,CA,Fresno
3115,35.53910065,-79.80329895,74561,190,25.0,5.0,7.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Randolph
1846,38.83779907,-76.80139923,21735,180,15.0,1.4,1.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MD,Prince George's
2983,34.89590073,-77.80960083,90229,180,0.0,4.9,7.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NC,Duplin
657,34.04230118,-117.3619995,14491,180,0.0,1.0,1.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,CA,San Bernardino
2199,42.21379852,-76.52259827,303923,180,20.0,16.0,24.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Tioga
1900,39.11790085,-94.28890228,68670,180,0.0,8.4,10.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,MO,Jackson
1626,41.90219879,-70.7161026,17823,180,0.0,1.0,1.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,MA,Plymouth
2208,40.87129974,-73.2602005,38091,180,15.0,2.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,NY,Suffolk
1991,40.26269913,-74.08399963,279545,180,30.0,15.9,19.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,NJ,Monmouth
665,34.98210144,-117.8919983,28742,180,0.0,1.1,1.1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Kern
2421,41.39599991,-83.58129883,577870,180,0.0,20.0,28.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,OH,Wood
2143,36.33119965,-106.1900024,29639,180,25.0,1.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NM,Rio Arriba
2179,35.78649902,-114.9980011,313570,180,20.0,10.0,12.4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,NV,Clark
1999,40.3348999,-74.64700317,168932,180,0.0,4.5,6.8,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NJ,Mercer
3428,35.16040039,-77.10970306,103059,180,20.0,5.0,6.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Craven
2556,42.03099823,-121.6110001,192056,180,20.0,8.0,10.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,OR,Klamath
1840,39.61859894,-77.8234024,34401,180,25.0,2.0,2.5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MD,Washington
3157,36.44710159,-76.58039856,214550,180,20.0,5.0,7.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NC,Gates
2803,32.26350021,-98.20780182,287941,180,0.0,9.9,14.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,TX,Erath
1686,42.30970001,-72.18859863,50617,180,0.0,2.8,3.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MA,Worcester
3449,34.74539948,-78.42169952,151736,180,0.0,5.0,6.8,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,NC,Bladen
116,45.47999954,-92.81279755,42311,180,52.0,1.0,1.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MN,Chisago
2244,43.31359863,-75.69619751,36743,184,0.0,1.8,2.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NY,Oneida
1823,39.01729965,-76.9088974,25800,180,30.0,1.6,2.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,MD,Prince George's
391,32.03089905,-110.9589996,760619,180,0.0,29.0,35.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,AZ,Pima
466,32.7140007,-115.5410004,220619,180,0.0,10.0,13.1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Imperial
20,45.39929962,-94.71640015,22207,180,0.0,1.0,1.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,MN,Stearns
1628,42.2071991,-70.9980011,19628,180,20.0,1.0,1.3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MA,Norfolk
1945,40.7887001,-75.10500336,52232,180,25.0,2.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NJ,Warren
3432,36.27170181,-76.30729675,606569,181,15.0,19.95,28.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NC,Pasquotank
1310,41.47159958,-88.04389954,35254,180,20.0,2.0,2.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,IL,Will
2888,44.36880112,-73.06040192,25960,180,25.0,1.3,1.7,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,VT,Chittenden
2185,35.84500122,-114.9720001,447850,180,20.0,25.0,32.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NV,Clark
516,38.51620102,-121.4759979,49506,180,25.0,2.0,2.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Sacramento
140,45.43529892,-94.04399872,26662,180,0.0,1.1,1.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MN,Sherburne
2930,36.43650055,-79.27880096,92465,180,0.0,5.0,6.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Caswell
2245,43.09199905,-73.74539948,35789,193,26.0,2.0,2.6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,NY,Saratoga
1218,34.02059937,-85.27829742,57152,55,20.0,2.2,3.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,GA,Polk
1294,42.3390007,-89.63929749,38458,180,0.0,2.0,2.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,IL,Stephenson
3084,35.02090073,-78.78849792,112394,180,0.0,5.0,7.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,NC,Cumberland
1515,42.44990158,-71.64369965,99233,180,0.0,2.0,2.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MA,Worcester
2006,40.19380188,-74.15519714,25778,180,25.0,1.5,2.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,NJ,Monmouth
3127,36.07989883,-79.1996994,91761,180,0.0,5.0,6.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Orange
1115,29.89119911,-82.68560028,1951294,181,25.0,74.9,105.6,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,FL,Columbia
3025,34.28710175,-77.98059845,36073,180,20.0,1.2,1.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NC,New Hanover
2624,33.76169968,-79.45860291,241473,180,25.0,10.0,14.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,SC,Williamsburg
3261,35.13439941,-77.53749847,91861,180,0.0,5.0,6.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Jones
2324,41.73839951,-74.50029755,38699,180,0.0,2.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NY,Ulster
1586,42.27880096,-71.2602005,50209,180,25.0,3.0,3.6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MA,Norfolk
2206,42.81269836,-78.85189819,60901,180,0.0,2.0,2.8,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,NY,Erie
2679,34.23870087,-79.65850067,173813,180,0.0,10.0,13.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,SC,Florence
881,37.24860001,-121.1090012,668157,180,0.0,40.0,50.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Stanislaus
2582,39.88570023,-77.77279663,377558,180,20.0,20.0,27.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,PA,Franklin
3183,36.09999847,-78.15630341,97369,180,0.0,4.9,6.7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Franklin
2742,33.16149902,-96.23940277,303486,180,0.0,10.0,14.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,TX,Hunt
2722,36.24969864,-82.52089691,106271,180,0.0,4.4,5.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,TN,Washington
3435,35.46889877,-80.29440308,100131,190,0.0,5.0,6.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Stanly
2221,43.16830063,-75.40370178,40205,180,25.0,1.9,2.6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NY,Oneida
399,32.37179947,-111.2829971,811849,180,0.0,26.46,26.5,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,AZ,Pima
388,32.98139954,-113.4980011,7321254,195,20.0,290.0,398.6,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,AZ,Yuma
1937,41.8893013,-103.651001,72360,180,15.0,4.4,5.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NE,Scotts Bluff
1393,39.45619965,-87.20400238,112111,180,0.0,4.0,6.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,IN,Clay
930,40.59280014,-105.1480026,65846,180,25.0,3.0,3.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CO,Larimer
1207,32.05759811,-82.8730011,54250,180,0.0,1.9,2.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,GA,Telfair
397,33.38119888,-113.1849976,439241,181,21.0,15.0,16.9,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,AZ,Maricopa
159,45.34830093,-92.92320251,30930,180,30.0,1.0,1.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,MN,Chisago
2167,35.84780121,-114.9459991,793328,180,0.0,50.0,62.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,NV,Clark
3688,34.81420136,-118.3889999,6288155,180,25.0,314.4,397.9,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Los Angeles
2732,29.24160004,-98.41799927,309090,180,0.0,9.9,11.6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,TX,Bexar
1482,42.01210022,-71.09320068,32639,180,0.0,1.9,1.9,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MA,Bristol
243,44.23429871,-93.27529907,106787,180,32.0,4.0,5.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,MN,Rice
2661,34.72180176,-82.52490234,51986,180,0.0,2.0,2.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,SC,Anderson
2150,36.71670151,-105.6070023,52530,180,20.0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,NM,Taos
3196,35.22740173,-81.19000244,84000,180,20.0,4.3,5.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NC,Gaston
1677,42.74359894,-71.17610168,24538,180,28.0,1.3,1.3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MA,Essex
3145,34.71260071,-79.30210114,89327,180,30.0,4.9,6.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Robeson
1182,31.28289986,-84.21980286,4285193,180,25.0,171.4,224.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,GA,Mitchell
1603,42.2594986,-72.40029907,20038,180,25.0,1.0,1.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MA,Hampshire
2806,32.47639847,-95.7141037,1129722,180,0.0,59.8,81.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,TX,Van Zandt
465,34.16640091,-116.2360001,484286,181,25.0,18.5,24.1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,San Bernardino
1,44.54199982,-92.97170258,93358,180,0.0,5.0,6.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,MN,Dakota
3269,35.54729843,-79.74510193,45964,180,20.0,2.0,2.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NC,Randolph
2492,42.17269897,-120.362999,228710,180,0.0,8.0,10.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,OR,Lake
479,34.6012001,-117.6439972,61009,112,25.0,2.0,2.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,San Bernardino
561,38.64410019,-121.1719971,24358,205,25.0,1.0,1.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,CA,Sacramento
1933,40.75159836,-99.73390198,66243,180,20.0,3.6,3.9,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NE,Dawson
